Enseignements de spécialité;Formation;Nombre de candidats bacheliers ayant confirmé au moins un vœu;Nombre de candidats bacheliers ayant reçu au moins une proposition d'admission;Nombre de candidats bacheliers ayant accepté une proposition d'admission
Physique-Chimie,Littératures, langues et culture de l'antiquité;Licence Arts;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Licence Chimie;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Licence Physique;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Licence Pluri Lettres - Sciences du langage - Arts;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Licence Pluri Sciences fondamentales et applications;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Licence Sciences de l'univers, de la terre, de l'espace;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Licence Sciences de l'éducation;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Formations d'ART;1;1.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Autres formations;1;1.0;1
Physique-Chimie,Littératures, langues et culture de l'antiquité;DEUST;0;0.0;0
Physique-Chimie,Sciences économiques et sociales;Licence AES;225;172.0;39
Physique-Chimie,Sciences économiques et sociales;Licence Archéologie, Ethno, Préhistoire, Anthropologie;5;5.0;0
Physique-Chimie,Sciences économiques et sociales;Licence Electronique, Génie électrique, EEA;1;1.0;1
Physique-Chimie,Sciences économiques et sociales;Licence LEA;42;32.0;10
Physique-Chimie,Sciences économiques et sociales;Licence Philosophie, Epistémologie;7;6.0;0
Physique-Chimie,Sciences économiques et sociales;Licence Physique;39;24.0;6
Physique-Chimie,Sciences économiques et sociales;Licence Pluri Lettres - Sciences du langage - Arts;1;1.0;0
Physique-Chimie,Sciences économiques et sociales;Licence Pluri Sciences humaines et sociales;1;0.0;0
Physique-Chimie,Sciences économiques et sociales;Licence Sciences de l'univers, de la terre, de l'espace;4;1.0;1
Physique-Chimie,Sciences économiques et sociales;Licence Sciences de la vie, biologie, santé;25;14.0;1
Physique-Chimie,Sciences économiques et sociales;Licence Sciences religieuses;1;1.0;0
Physique-Chimie,Sciences économiques et sociales;BTS production;90;49.0;16
Physique-Chimie,Sciences de la vie et de la terre;Licence Electronique, Génie électrique, EEA;8;7.0;0
Physique-Chimie,Sciences de la vie et de la terre;Licence MASS;170;111.0;19
Physique-Chimie,Sciences de la vie et de la terre;Licence Pluri Sciences;1967;1096.0;148
Physique-Chimie,Sciences de la vie et de la terre;Licence Psychlogie, Sciences cognitives;6783;5078.0;1054
Physique-Chimie,Sciences de la vie et de la terre;Licence Sciences de la vie, biologie, santé;21066;14931.0;3448
Physique-Chimie,Sciences de la vie et de la terre;Licence Las;32650;17652.0;5812
Physique-Chimie,Sciences de la vie et de la terre;BTS agricole;1512;1122.0;423
Physique-Chimie,Sciences de la vie et de la terre;BTS production;3238;1763.0;457
Physique-Chimie,Sciences de la vie et de la terre;CPGE ECG;525;284.0;69
Physique-Chimie,Sciences de la vie et de la terre;Sciences Po;317;30.0;20
Physique-Chimie,Sciences de l'ingénieur;Licence Formation générale aux métiers de l'ingénieur;151;100.0;17
Physique-Chimie,Sciences de l'ingénieur;Licence Pluri Droit - Sciences éco - AES;1;0.0;0
Physique-Chimie,Sciences de l'ingénieur;Licence Pluri Sciences;6;1.0;0
Physique-Chimie,Sciences de l'ingénieur;Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers;2;0.0;0
Physique-Chimie,Sciences de l'ingénieur;Licence Pluri Sciences fondamentales et applications;3;0.0;0
Physique-Chimie,Sciences de l'ingénieur;Licence Pluri Sciences humaines et sociales;2;1.0;0
Physique-Chimie,Sciences de l'ingénieur;Licence Pluri Sciences économiques - Gestion;25;15.0;5
Physique-Chimie,Sciences de l'ingénieur;Licence Psychlogie, Sciences cognitives;16;10.0;3
Physique-Chimie,Sciences de l'ingénieur;Licence Sciences de gestion;9;1.0;0
Physique-Chimie,Sciences de l'ingénieur;Licence Sciences de l'éducation;4;3.0;1
Physique-Chimie,Sciences de l'ingénieur;Licence Sciences religieuses;0;0.0;0
Physique-Chimie,Sciences de l'ingénieur;BUT Service;69;16.0;4
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence Archéologie, Ethno, Préhistoire, Anthropologie;1;1.0;1
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence Arts;0;0.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence Electronique, Génie électrique, EEA;0;0.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence Histoire;3;3.0;1
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence LEA;2;1.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence Langues et littératures françaises;2;2.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence Physique;0;0.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence Pluri Langues;0;0.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence Pluri Lettres - Langues - Sciences humaines;1;1.0;1
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers;0;0.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence Sciences de l'information et de la communication;1;0.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence Sciences de l'univers, de la terre, de l'espace;0;0.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence Sciences du langage - Linguistique;0;0.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence Sciences politiques;0;0.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence Sciences religieuses;0;0.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;PASS;1;1.0;1
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;BUT Production;0;0.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;BTS production;1;0.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;CPGE ECG;0;0.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Ensemble des candidats bacheliers;16;14.0;14
Sciences économiques et sociales,Sciences de la vie et de la terre;Licence Chimie;152;89.0;29
Sciences économiques et sociales,Sciences de la vie et de la terre;Licence Géographie;281;246.0;56
Sciences économiques et sociales,Sciences de la vie et de la terre;Licence Langues et littératures étrangères;412;349.0;95
Sciences économiques et sociales,Sciences de la vie et de la terre;Licence Mécanique, Génie mécanique, Ingénierie mécanique;3;1.0;0
Sciences économiques et sociales,Sciences de la vie et de la terre;Licence Pluri Langues;7;3.0;1
Sciences économiques et sociales,Sciences de la vie et de la terre;Licence Pluri Lettres - Langues - Sciences humaines;87;51.0;8
Sciences économiques et sociales,Sciences de la vie et de la terre;Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers;757;291.0;71
Sciences économiques et sociales,Sciences de la vie et de la terre;Licence Pluri Sciences fondamentales et applications;0;0.0;0
Sciences économiques et sociales,Sciences de la vie et de la terre;Licence Psychlogie, Sciences cognitives;2479;1610.0;693
Sciences économiques et sociales,Sciences de la vie et de la terre;Licence Sciences politiques;199;31.0;8
Sciences économiques et sociales,Sciences de la vie et de la terre;Licence Sciences religieuses;2;2.0;0
Sciences économiques et sociales,Sciences de la vie et de la terre;CPGE L;99;57.0;21
Sciences économiques et sociales,Sciences de la vie et de la terre;Ecoles d'Ingénieurs;98;46.0;33
Sciences économiques et sociales,Sciences de la vie et de la terre;Formations d'ART;199;52.0;26
Sciences économiques et sociales,Sciences de la vie et de la terre;DEUST;473;152.0;45
Sciences économiques et sociales,Sciences de l'ingénieur;Licence Archéologie, Ethno, Préhistoire, Anthropologie;0;0.0;0
Sciences économiques et sociales,Sciences de l'ingénieur;Licence Chimie;0;0.0;0
Sciences économiques et sociales,Sciences de l'ingénieur;Licence Electronique, Génie électrique, EEA;0;0.0;0
Sciences économiques et sociales,Sciences de l'ingénieur;Licence Formation générale aux métiers de l'ingénieur;12;7.0;3
Sciences économiques et sociales,Sciences de l'ingénieur;Licence Pluri Lettres - Sciences du langage - Arts;1;1.0;0
Sciences économiques et sociales,Sciences de l'ingénieur;Licence Pluri Sciences;0;0.0;0
Sciences économiques et sociales,Sciences de l'ingénieur;Licence Sociologie, Démographie;5;3.0;0
Sciences économiques et sociales,Sciences de l'ingénieur;PASS;1;1.0;0
Sciences économiques et sociales,Sciences de l'ingénieur;BTS agricole;1;1.0;1
Sciences économiques et sociales,Sciences de l'ingénieur;D.E social;2;2.0;2
Sciences économiques et sociales,Sciences de l'ingénieur;Ensemble des candidats bacheliers;97;91.0;79
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Licence Arts;1;1.0;1
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Licence Informatique;0;0.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Licence Mathématiques;0;0.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Licence Mathématiques et informatique;0;0.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Licence STAPS;3;1.0;1
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Licence Sciences de gestion;0;0.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Licence Sciences et technologies industrielles;0;0.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Licence Sciences politiques;0;0.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Licence Sciences religieuses;0;0.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Licence Sociologie, Démographie;1;1.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;PASS;4;3.0;2
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;CPGE S;1;0.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Autres formations;2;1.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;DCG;0;0.0;0
Sciences de l'ingénieur,Sciences de la vie et de la terre;Licence Arts;12;6.0;0
Sciences de l'ingénieur,Sciences de la vie et de la terre;Licence Electronique, Génie électrique, EEA;1;1.0;0
Sciences de l'ingénieur,Sciences de la vie et de la terre;Licence Histoire;6;6.0;3
Sciences de l'ingénieur,Sciences de la vie et de la terre;Licence Physique;1;1.0;0
Sciences de l'ingénieur,Sciences de la vie et de la terre;Licence Physique et chimie;1;1.0;0
Sciences de l'ingénieur,Sciences de la vie et de la terre;Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers;17;5.0;1
Sciences de l'ingénieur,Sciences de la vie et de la terre;Licence STAPS;50;40.0;25
Sciences de l'ingénieur,Sciences de la vie et de la terre;Licence Sciences de gestion;1;0.0;0
Sciences de l'ingénieur,Sciences de la vie et de la terre;Licence Sciences de l'univers, de la terre, de l'espace;7;5.0;2
Sciences de l'ingénieur,Sciences de la vie et de la terre;Licence Sciences du langage - Linguistique;0;0.0;0
Sciences de l'ingénieur,Sciences de la vie et de la terre;BUT Service;22;9.0;3
Sciences de l'ingénieur,Sciences de la vie et de la terre;Ecoles d'Ingénieurs;6;1.0;1
Sciences de l'ingénieur,Sciences de la vie et de la terre;Autres formations;12;4.0;1
Sciences de l'ingénieur,Sciences de la vie et de la terre;DEUST;6;3.0;1
Sciences de l'ingénieur,Sciences de la vie et de la terre;Formations des écoles nationales vétérinaires;0;0.0;0
Sciences de l'ingénieur,Sciences de la vie et de la terre;Ensemble des candidats bacheliers;155;135.0;109
Arts,Arts;Licence Electronique, Génie électrique, EEA;0;0.0;0
Arts,Arts;Licence Géographie;0;0.0;0
Arts,Arts;Licence Langues et littératures françaises;0;0.0;0
Arts,Arts;Licence Pluri Sciences économiques - Gestion;0;0.0;0
Arts,Arts;Licence Psychlogie, Sciences cognitives;0;0.0;0
Arts,Arts;Licence Sciences religieuses;0;0.0;0
Arts,Arts;Licence Sociologie, Démographie;0;0.0;0
Arts,Arts;BUT Production;1;0.0;0
Arts,Arts;Ecoles d'Ingénieurs;0;0.0;0
Arts,Arts;D.E social;0;0.0;0
Arts,Arts;Sciences Po;0;0.0;0
Arts,Humanités, Littérature et Philosophie;Licence Formation générale aux métiers de l'ingénieur;0;0.0;0
Arts,Humanités, Littérature et Philosophie;Licence Génie civil;0;0.0;0
Arts,Humanités, Littérature et Philosophie;Licence Histoire;611;536.0;162
Arts,Humanités, Littérature et Philosophie;Licence Physique;0;0.0;0
Arts,Humanités, Littérature et Philosophie;Licence Physique et chimie;0;0.0;0
Arts,Humanités, Littérature et Philosophie;Licence Pluri Lettres - Langues - Sciences humaines;234;168.0;37
Arts,Humanités, Littérature et Philosophie;Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers;2;0.0;0
Arts,Humanités, Littérature et Philosophie;Licence Sciences politiques;34;5.0;3
Arts,Humanités, Littérature et Philosophie;Licence Las;232;48.0;7
Arts,Humanités, Littérature et Philosophie;BUT Service;288;75.0;45
Arts,Humanités, Littérature et Philosophie;CPGE ECG;9;2.0;0
Arts,Humanités, Littérature et Philosophie;Formations d'ART;724;261.0;160
Arts,Humanités, Littérature et Philosophie;DCG;4;0.0;0
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Arts;1293;1019.0;451
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Chimie;3;0.0;0
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Informatique;5;2.0;0
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Langues et littératures françaises;261;202.0;42
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Physique;1;0.0;0
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Pluri Droit - Sciences éco - AES;1;0.0;0
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Pluri Langues;6;5.0;1
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Pluri Lettres - Langues - Sciences humaines;115;93.0;19
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Pluri Sciences;8;5.0;2
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Sciences de l'information et de la communication;269;145.0;52
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Sciences de l'univers, de la terre, de l'espace;4;3.0;1
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;PASS;19;1.0;0
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;CPGE L;208;148.0;75
Arts,Histoire,Géographie, Géopolitique, Sciences politiques;D.E sanitaire;59;20.0;17
Arts,Littératures, langues et culture de l'antiquité;Licence AES;0;0.0;0
Arts,Littératures, langues et culture de l'antiquité;Licence Archéologie, Ethno, Préhistoire, Anthropologie;1;1.0;0
Arts,Littératures, langues et culture de l'antiquité;Licence Arts;10;7.0;4
Arts,Littératures, langues et culture de l'antiquité;Licence Formation générale aux métiers de l'ingénieur;0;0.0;0
Arts,Littératures, langues et culture de l'antiquité;Licence Mathématiques;0;0.0;0
Arts,Littératures, langues et culture de l'antiquité;Licence Pluri Sciences économiques - Gestion;0;0.0;0
Arts,Littératures, langues et culture de l'antiquité;Licence Sciences de l'éducation;0;0.0;0
Arts,Littératures, langues et culture de l'antiquité;Licence Sciences économiques;0;0.0;0
Arts,Littératures, langues et culture de l'antiquité;Licence Las;1;0.0;0
Arts,Littératures, langues et culture de l'antiquité;BTS agricole;1;1.0;1
Arts,Littératures, langues et culture de l'antiquité;D.E social;2;0.0;0
Arts,Littératures, langues et culture de l'antiquité;D.E sanitaire;0;0.0;0
Arts,Littératures, langues et culture de l'antiquité;Ensemble des candidats bacheliers;23;21.0;17
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence AES;104;53.0;10
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Formation générale aux métiers de l'ingénieur;2;0.0;0
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Géographie;55;36.0;9
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Informatique;12;11.0;7
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence LEA;1464;1103.0;400
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Philosophie, Epistémologie;129;95.0;16
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Pluri Sciences économiques - Gestion;68;27.0;7
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences de l'univers, de la terre, de l'espace;2;0.0;0
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences et technologies industrielles;11;6.0;3
Arts,Langues, Littératures et Cultures Etrangères et Régionales;BTS service;1220;477.0;195
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Ecoles d'Ingénieurs;0;0.0;0
Arts,Langues, Littératures et Cultures Etrangères et Régionales;Formations d'ART;1558;563.0;337
Arts,Mathématiques;Licence Informatique;60;41.0;16
Arts,Mathématiques;Licence Langues et littératures françaises;51;42.0;9
Arts,Mathématiques;Licence Mathématiques et informatique;3;1.0;0
Arts,Mathématiques;Licence Physique;11;6.0;2
Arts,Mathématiques;Licence Sciences juridiques;118;94.0;30
Arts,Mathématiques;Licence Sciences politiques;11;2.0;0
Arts,Mathématiques;Licence Sociologie, Démographie;58;47.0;5
Arts,Mathématiques;BUT Production;206;89.0;43
Arts,Mathématiques;BTS agricole;21;9.0;2
Arts,Mathématiques;Sciences Po;11;1.0;0
Arts,Numérique et Sciences Informatiques;Licence Arts;170;134.0;56
Arts,Numérique et Sciences Informatiques;Licence Génie civil;0;0.0;0
Arts,Numérique et Sciences Informatiques;Licence Mathématiques et informatique;0;0.0;0
Arts,Numérique et Sciences Informatiques;Licence Pluri Lettres - Langues - Sciences humaines;3;2.0;0
Arts,Numérique et Sciences Informatiques;Licence Pluri Sciences économiques - Gestion;3;3.0;2
Arts,Numérique et Sciences Informatiques;Licence Sciences de l'information et de la communication;16;9.0;2
Arts,Numérique et Sciences Informatiques;Licence Sciences de l'éducation;2;1.0;1
Arts,Numérique et Sciences Informatiques;Licence Sciences de la vie, biologie, santé;0;0.0;0
Arts,Numérique et Sciences Informatiques;Ecoles d'Ingénieurs;7;3.0;2
Arts,Numérique et Sciences Informatiques;Formations des écoles nationales vétérinaires;0;0.0;0
Arts,Physique-Chimie;Licence Electronique, Génie électrique, EEA;0;0.0;0
Arts,Physique-Chimie;Licence Géographie;17;12.0;4
Arts,Physique-Chimie;Licence Langues et littératures étrangères;49;41.0;10
Arts,Physique-Chimie;Licence Physique;28;17.0;3
Arts,Physique-Chimie;Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers;5;0.0;0
Arts,Physique-Chimie;Licence Sciences juridiques;21;17.0;10
Arts,Physique-Chimie;Licence Sciences politiques;7;1.0;0
Arts,Physique-Chimie;Licence Sciences religieuses;0;0.0;0
Arts,Physique-Chimie;Licence Las;42;12.0;5
Arts,Physique-Chimie;BUT Production;79;27.0;14
Arts,Physique-Chimie;BUT Service;33;11.0;6
Arts,Physique-Chimie;CPGE S;31;6.0;1
Arts,Physique-Chimie;D.E social;3;1.0;0
Arts,Sciences économiques et sociales;Licence Arts;827;626.0;272
Arts,Sciences économiques et sociales;Licence Chimie;0;0.0;0
Arts,Sciences économiques et sociales;Licence Physique;1;0.0;0
Arts,Sciences économiques et sociales;Licence Pluri Langues;4;4.0;1
Arts,Sciences économiques et sociales;Licence Pluri Lettres - Langues - Sciences humaines;51;40.0;9
Arts,Sciences économiques et sociales;Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers;1;0.0;0
Arts,Sciences économiques et sociales;Licence STAPS;108;49.0;25
Arts,Sciences économiques et sociales;Licence Sciences de gestion;73;29.0;8
Arts,Sciences économiques et sociales;Licence Sciences de l'univers, de la terre, de l'espace;0;0.0;0
Arts,Sciences économiques et sociales;Licence Sciences de la vie, biologie, santé;4;2.0;0
Arts,Sciences économiques et sociales;Licence Sciences économiques;87;40.0;7
Arts,Sciences économiques et sociales;CPGE L;58;42.0;18
Arts,Sciences économiques et sociales;Sciences Po;34;2.0;1
Arts,Sciences économiques et sociales;Formations des écoles nationales vétérinaires;1;0.0;0
Arts,Sciences de la vie et de la terre;Licence Physique;1;1.0;0
Arts,Sciences de la vie et de la terre;Licence Pluri Droit - Sciences éco - AES;0;0.0;0
Arts,Sciences de la vie et de la terre;Licence Pluri Lettres - Sciences du langage - Arts;4;3.0;0
Arts,Sciences de la vie et de la terre;Licence Pluri Sciences humaines et sociales;1;0.0;0
Arts,Sciences de la vie et de la terre;Licence Pluri Sciences économiques - Gestion;10;4.0;1
Arts,Sciences de la vie et de la terre;Licence Sciences de gestion;6;5.0;2
Arts,Sciences de la vie et de la terre;Licence Sciences de l'éducation;50;26.0;12
Arts,Sciences de la vie et de la terre;Licence Sciences juridiques;55;37.0;14
Arts,Sciences de la vie et de la terre;BUT Service;45;10.0;1
Arts,Sciences de la vie et de la terre;CPGE ECG;3;3.0;1
Arts,Sciences de la vie et de la terre;CPGE L;12;8.0;1
Arts,Sciences de la vie et de la terre;Ecoles d'Ingénieurs;3;1.0;1
Arts,Sciences de la vie et de la terre;DCG;1;0.0;0
Arts,Sciences de la vie et de la terre;DEUST;24;7.0;3
Arts,Sciences de l'ingénieur;Licence AES;1;0.0;0
Arts,Sciences de l'ingénieur;Licence Formation générale aux métiers de l'ingénieur;1;0.0;0
Arts,Sciences de l'ingénieur;Licence Histoire;4;3.0;1
Arts,Sciences de l'ingénieur;Licence LEA;2;1.0;0
Arts,Sciences de l'ingénieur;Licence Pluri Droit - Sciences éco - AES;0;0.0;0
Arts,Sciences de l'ingénieur;Licence Pluri Langues;0;0.0;0
Arts,Sciences de l'ingénieur;Licence Pluri Sciences;0;0.0;0
Arts,Sciences de l'ingénieur;Licence Pluri Sciences humaines et sociales;0;0.0;0
Arts,Sciences de l'ingénieur;Licence Pluri Sciences économiques - Gestion;2;0.0;0
Arts,Sciences de l'ingénieur;Licence Sciences de l'univers, de la terre, de l'espace;0;0.0;0
Arts,Sciences de l'ingénieur;Licence Sciences et technologies industrielles;0;0.0;0
Arts,Sciences de l'ingénieur;D.E social;0;0.0;0
Arts,Sciences de l'ingénieur;D.E sanitaire;1;0.0;0
Arts,Sciences de l'ingénieur;Sciences Po;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;Licence Electronique, Génie électrique, EEA;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;Licence Histoire;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;Licence Informatique;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;Licence Mathématiques;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;Licence Philosophie, Epistémologie;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;Licence Pluri Sciences fondamentales et applications;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;Licence Psychlogie, Sciences cognitives;2;1.0;1
Biologie-Ecologie,Humanités, Littérature et Philosophie;Licence Sciences économiques;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;Licence Las;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;BUT Service;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;CPGE ECG;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;CPGE L;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;Ecoles de Commerce;0;0.0;0
Biologie-Ecologie,Humanités, Littérature et Philosophie;Ensemble des candidats bacheliers;2;2.0;2
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Archéologie, Ethno, Préhistoire, Anthropologie;1;1.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Génie civil;0;0.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Histoire;1;0.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Informatique;0;0.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;Licence LEA;3;2.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Mathématiques;0;0.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Physique;0;0.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Pluri Lettres - Langues - Sciences humaines;2;2.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Pluri Sciences;0;0.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;Licence STAPS;1;0.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;Licence Sciences de la vie, biologie, santé;2;1.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;BTS service;0;0.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;CPGE ECG;0;0.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;D.E social;0;0.0;0
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;D.E sanitaire;1;1.0;1
Biologie-Ecologie,Histoire,Géographie, Géopolitique, Sciences politiques;Sciences Po;1;0.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Arts;0;0.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Chimie;0;0.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Mathématiques et informatique;0;0.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Pluri Langues;0;0.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Pluri Sciences fondamentales et applications;0;0.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;Licence STAPS;1;1.0;1
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences de gestion;0;0.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences de la vie, biologie, santé;1;1.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences juridiques;0;0.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sociologie, Démographie;0;0.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;BUT Production;0;0.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;BTS production;0;0.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;D.E social;0;0.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;D.E sanitaire;1;0.0;0
Biologie-Ecologie,Langues, Littératures et Cultures Etrangères et Régionales;Autres formations;0;0.0;0
Biologie-Ecologie,Mathématiques;Licence Géographie;7;6.0;1
Biologie-Ecologie,Mathématiques;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0.0;0
Biologie-Ecologie,Mathématiques;Licence Pluri Langues;0;0.0;0
Biologie-Ecologie,Mathématiques;Licence Pluri Sciences économiques - Gestion;16;15.0;3
Biologie-Ecologie,Mathématiques;Licence Sciences de gestion;10;3.0;1
Biologie-Ecologie,Mathématiques;Licence Sociologie, Démographie;16;15.0;1
Biologie-Ecologie,Mathématiques;PASS;57;22.0;6
Biologie-Ecologie,Mathématiques;BTS production;38;17.0;4
Biologie-Ecologie,Mathématiques;CPGE S;58;21.0;11
Biologie-Ecologie,Mathématiques;Formations d'ART;11;2.0;1
